Cena_surowa,Powierzchnia_surowa,Pokoje_surowe,Pietro_surowe,Rok_surowy,Parking_surowy,Stan_surowy,Link
399 000 zł,"399 000 zł (12 468,75 zł/m²)",,"piętro 10/11, jednostronne",Rok budowy:,"Miejsce parkingowe:
przynależne na ulicy",mieszkania,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26645778.html"
549 000 zł,549 000 zł (9 150 zł/m²),,"piętro 2/2, jednopoziomowe",Rok budowy:,parking publiczny / na ulicy,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26688377.html"
585 000 zł,"585 000 zł (9 099,39 zł/m²)",,"piętro 3/3, jednopoziomowe",Rok budowy:,"Miejsce parkingowe:
tak","64,29 m², 3 pokoje;  dobry","https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26691706.html"
472 803 zł,472 803 zł (7 917 zł/m²),,Piętro:,Rok budowy:,Miejsce parkingowe:,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26186268.html"
589 000 zł,"589 000 zł (10 603,65 zł/m²)",,"piętro 0/3, jednopoziomowe",Rok budowy:,garaż,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26382334.html"
1 067 000 zł,"10 993,20 zł/m²",,piętro 1/3,Rok budowy:,"Miejsce parkingowe:
tak",wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m4,nad-rzeka/26506900.html"
589 000 zł,"589 000 zł (10 536,67 zł/m²)",,piętro 4/4,Rok budowy:,Miejsce parkingowe:,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26525051.html"
599 000 zł,"599 000 zł (11 745,10 zł/m²)",,"piętro 4/5, jednopoziomowe",Rok budowy:,parking publiczny / na ulicy,"51 m², 3 pokoje;  wysoki dard","https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26387920.html"
585 000 zł,"585 000 zł (10 720,18 zł/m²)",,"piętro 0/1, jednopoziomowe",Rok budowy:,"Miejsce parkingowe:
tak",do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26574892.html"
599 000 zł,"taras (33,98 m²), ogródek",,"piętro 1/1, jednopoziomowe",Rok budowy:,"Miejsce parkingowe:
tak",do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/26617265.html"
629 000 zł,"629 000 zł (9 502,95 zł/m²)",,Piętro:,Rok budowy:,w garażu podziemnym (1 miejsce parkingowe),mieszkania,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26682315.html"
990 000 zł,"990 000 zł (8 215,46 zł/m²)",,piętro 11/11,Rok budowy:,garaż,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26388605.html"
490 906 zł,11 950 zł/m²,,"piętro 2/13, jednopoziomowe",,garaż,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,krakovska-etap-ii/25716538.html?2,mieszkanie"
610 000 zł,"610 000 zł (11 596,96 zł/m²)",,"piętro 5/5, jednopoziomowe",Rok budowy:,parking publiczny / na ulicy,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26386460.html"
999 000 zł,"999 000 zł (8 518,80 zł/m²)",,piętro 1/1,Rok budowy:,garaż,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m5,z-aneksem-kuchennym/26647794.html"
380 000 zł,"380 000 zł (12 025,32 zł/m²)",,Piętro:,Rok budowy:,przynależne na ulicy (2 miejsca parkingowe),anna icka,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-odswiezenia/26623806.html"
439 000 zł,"439 000 zł (11 807,42 zł/m²)",,piętro 2/2,Rok budowy:,Miejsce parkingowe:,"37,18 m², 3 pokoje;  dobry","https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/26631934.html"
669 000 zł,"669 000 zł (11 520,58 zł/m²)",,piętro 0/1,rok budowy: 2021,"Miejsce parkingowe:
tak",wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,przy-lesie/26625470.html"
670 000 zł,"670 000 zł (12 135,48 zł/m²)",,Piętro:,Rok budowy:,w garażu podziemnym (1 miejsce parkingowe),mieszkania,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26394821.html"
626 773 zł,10 550 zł/m²,,"piętro 6/15, jednopoziomowe",,garaż,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,dzielnica-parkowa/26307809.html?2,mieszkanie"
666 596 zł,10 550 zł/m²,,"piętro 7/16, jednopoziomowe",,garaż,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,dzielnica-parkowa/26309240.html?2,mieszkanie"
869 364 zł,869 364 zł (8 200 zł/m²),,"piętro 1/1, dwupoziomowe",Rok budowy:,Miejsce parkingowe:,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/26581397.html"
688 315 zł,10 550 zł/m²,,"piętro 11/16, jednopoziomowe",,garaż,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,dzielnica-parkowa/26309169.html?2,mieszkanie"
619 000 zł,"9 637,44 zł/m²",,"piętro 1/1, dwupoziomowe",,Miejsce/a postojowe:: naziemne (2 miejsca),deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,rzeszowskie-katy/26137671.html?2,mieszkanie"
295 500 zł,"295 500 zł (11 201,67 zł/m²)",,piętro 2/2,Rok budowy:,garaż,"26,38 m², 1 pokój;  do wykończenia","https://rzeszow.nieruchomosci-online.pl/mieszkanie,kawalerka,z-aneksem-kuchennym/26388007.html"
808 841 zł,11 950 zł/m²,,"piętro 8/13, jednopoziomowe",,garaż,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,krakovska-etap-ii/25716427.html?2,mieszkanie"
425 500 zł,425 500 zł (9 200 zł/m²),,"piętro 2/2, jednopoziomowe",Rok budowy:,"Miejsce parkingowe:
tak",do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26671469.html"
565 000 zł,"565 000 zł (11 345,38 zł/m²)",,"piętro 3/3, jednopoziomowe",Rok budowy:,Miejsce parkingowe:,mieszkania,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/26689729.html"
785 000 zł,"785 000 zł (9 949,30 zł/m²)",,Piętro:,Rok budowy:,parking publiczny / na ulicy,mieszkania,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m5,z-aneksem-kuchennym/25981791.html"
865 000 zł,"9 637,44 zł/m²",,"piętro 0/1, dwupoziomowe",,"plac zabaw, sklep, parking dla gości",deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,rzeszowskie-katy/26134242.html?2,mieszkanie"
599 000 zł,"599 000 zł (6 345,34 zł/m²)",,"piętro 1/2, dwupoziomowe",rok budowy: 2025,"Miejsce parkingowe:
tak",do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,nad-rzeka/26530177.html"
619 000 zł,"619 000 zł (14 213,55 zł/m²)",,Piętro:,kamienica; rok budowy: 1900,parking publiczny / na ulicy,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26394624.html"
499 000 zł,"499 000 zł (11 880,95 zł/m²)",,"piętro 4/4, jednopoziomowe",Rok budowy:,brak przynależnego miejsca parkingowego,"42 m², 2 pokoje;  wysoki dard","https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26389714.html"
549 000 zł,"549 000 zł (15 867,05 zł/m²)",,"piętro 1/3, jednopoziomowe",Rok budowy:,parking strzeżony w pobliżu,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26521013.html"
319 000 zł,"319 000 zł (12 593,76 zł/m²)",,piętro 1/4,Rok budowy:,garaż,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,przy-lesie/26387990.html"
639 000 zł,"9 637,44 zł/m²",,"piętro 1/1, dwupoziomowe",,Miejsce/a postojowe:: naziemne (2 miejsca),deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,rzeszowskie-katy/26137611.html?2,mieszkanie"
459 000 zł,"ogródek 113,79 m²",,Piętro:,Rok budowy:,Miejsce parkingowe:,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26603306.html"
