Cena_surowa,Powierzchnia_surowa,Pokoje_surowe,Pietro_surowe,Rok_surowy,Parking_surowy,Stan_surowy,Link
460 000 zł,"460 000 zł (9 745,76 zł/m²)",,piętro 0/4,Rok budowy:,Miejsce parkingowe:,"47,20 m², 2 pokoje;  do remontu","https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26592080.html"
479 000 zł,"479 000 zł (13 087,43 zł/m²)",,piętro 3/4,Rok budowy:,Miejsce parkingowe:,mieszkania,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,nowe-wykonczone/26691534.html"
550 000 zł,"550 000 zł (14 788,92 zł/m²)",,piętro 5/8,Rok budowy:,garaż,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26550872.html"
590 000 zł,"590 000 zł (9 335,44 zł/m²)",,"piętro 4/4, jednopoziomowe",Rok budowy:,parking publiczny / na ulicy,"63,20 m², 3 pokoje;  do remontu","https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26545567.html"
699 000 zł,"699 000 zł (11 151,88 zł/m²)",,"piętro 6/6, jednopoziomowe",Rok budowy:,przynależne na ulicy (1 miejsce parkingowe),wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26428770.html"
525 000 zł,"525 000 zł (8 203,13 zł/m²)",,"piętro 10/11, jednopoziomowe",Rok budowy:,"Miejsce parkingowe:
przynależne na ulicy",mieszkania,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26684750.html"
720 744 zł,720 744 zł (11 800 zł/m²),,"piętro 6/6, jednopoziomowe",Rok budowy:,Miejsce parkingowe:,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26386466.html"
596 095 zł,11 950 zł/m²,,"piętro 13/13, jednopoziomowe",,garaż,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,krakovska-etap-ii/25716569.html?2,mieszkanie"
598 185 zł,598 185 zł (13 500 zł/m²),,Piętro:,Rok budowy:,w garażu podziemnym (1 miejsce parkingowe),do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26676387.html"
689 000 zł,"689 000 zł (11 112,90 zł/m²)",,"piętro 1/1, jednopoziomowe",Rok budowy:,garaż,wysoki dard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26487096.html"
