Cena_surowa,Powierzchnia_surowa,Pokoje_surowe,Pietro_surowe,Rok_surowy,Parking_surowy,Stan_surowy,Link
599 000 zł,m²,3,4/5,blok mieszkalny;  1994,parking publiczny / na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26387920.html"
459 000 zł,"54,36",3,parter/1,blok mieszkalny;  2026,przynależne na terenie ogrodzonym,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26603306.html"
389 000 zł,m²,2,11/11,blok mieszkalny;  1980,przynależne na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26369985.html"
670 000 zł,"55,21",3,2/5,2016,w garażu podziemnym,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26394821.html"
520 320 zł,"40,65",1,1/4,blok mieszkalny;  2021,garaż w bryle budynku,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26629338.html"
479 000 zł,"36,60",2,3/4,blok mieszkalny;  1970,-,nowe wykończone,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,nowe-wykonczone/26691534.html"
999 000 zł,"117,27",5,1/1,2019 (blok w nowym budownictwie),garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m5,z-aneksem-kuchennym/26647794.html"
585 000 zł,"54,57",3,parter/1,2025 (blok w nowym budownictwie),tak,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26574892.html"
525 000 zł,m²,3,10/11,-,przynależne na ulicy,do remontu,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26684750.html"
849 500 zł,"69,70",3,1/18,2019,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26623766.html"
550 000 zł,"37,19",2,5/8,blok mieszkalny;  2025,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26550872.html"
549 000 zł,m²,2,2/2,blok mieszkalny;  2007,parking publiczny / na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26688377.html"
699 000 zł,m²,2,12/13,apartamentowiec;  2023,-,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26620950.html"
