Cena_surowa,Powierzchnia_surowa,Pokoje_surowe,Pietro_surowe,Rok_surowy,Parking_surowy,Stan_surowy,Link
459 000 zł,"Mieszkanie 54,36 m² - sprzedaż",3,parter/1,blok mieszkalny;  2026,przynależne na terenie ogrodzonym,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26603306.html"
479 000 zł,"Mieszkanie 36,60 m² - sprzedaż",2,3/4,blok mieszkalny;  1970,-,nowe wykończone,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,nowe-wykonczone/26691534.html"
585 000 zł,"Mieszkanie 54,57 m² - sprzedaż",3,parter/1,2025 (blok w nowym budownictwie),tak,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26574892.html"
549 000 zł,Mieszkanie 60 m² - sprzedaż,2,2/2,blok mieszkalny;  2007,parking publiczny / na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26688377.html"
849 500 zł,"Mieszkanie 69,70 m² - sprzedaż",3,1/18,2019,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26623766.html"
619 000 zł,"Mieszkanie 43,55 m² - sprzedaż",3,2/3,kamienica;  1900,parking publiczny / na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26394624.html"
598 185 zł,"Mieszkanie 44,31 m² - sprzedaż",2,2/17,2025,w garażu podziemnym,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26676387.html"
489 000 zł,"Mieszkanie 46,70 m² - sprzedaż",2,4/4,1964,tak,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/25223820.html"
539 000 zł,"Mieszkanie 53,00 m² - sprzedaż",3,parter/2,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,zaleze-premium/25878959.html?2,mieszkanie"
585 000 zł,"Mieszkanie 64,29 m² - sprzedaż",3,3/3,blok mieszkalny;  1998,tak,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26691706.html"
869 364 zł,"Mieszkanie 106,02 m² - sprzedaż",4,1/1,2024 (blok w nowym budownictwie),przynależne na terenie ogrodzonym,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/26581397.html"
550 000 zł,"Mieszkanie 37,19 m² - sprzedaż",2,5/8,blok mieszkalny;  2025,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26550872.html"
549 000 zł,"Mieszkanie 34,60 m² - sprzedaż",2,1/3,blok mieszkalny;  2007,parking strzeżony w pobliżu,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26521013.html"
525 000 zł,Mieszkanie 64 m² - sprzedaż,3,10/11,-,przynależne na ulicy,do remontu,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26684750.html"
