Cena_surowa,Powierzchnia_surowa,Pokoje_surowe,Pietro_surowe,Rok_surowy,Parking_surowy,Stan_surowy,Link
629 000 zł,"Mieszkanie 66,19 m² - sprzedaż",3,3/4,blok mieszkalny;  2011,w garażu podziemnym,do odświeżenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26682315.html"
785 000 zł,"Mieszkanie 78,90 m² - sprzedaż",5,3/4,blok mieszkalny;  2011,parking publiczny / na ulicy,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m5,z-aneksem-kuchennym/25981791.html"
569 000 zł,"Mieszkanie 58,00 m² - sprzedaż",3,parter/1,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,nefrytowa-park/25880134.html?2,mieszkanie"
590 000 zł,"Mieszkanie 63,20 m² - sprzedaż",3,4/4,blok mieszkalny;  2009,parking publiczny / na ulicy,do remontu,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26545567.html"
1 067 000 zł,"Mieszkanie 97,06 m² - sprzedaż",4,1/3,1930 (blok w starym budownictwie),tak,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m4,nad-rzeka/26506900.html"
399 000 zł,Mieszkanie 32 m² - sprzedaż,2,10/11,blok mieszkalny;  1979,przynależne na ulicy,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26645778.html"
499 000 zł,Mieszkanie 42 m² - sprzedaż,2,4/4,blok mieszkalny;  1990,brak przynależnego miejsca parkingowego,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26389714.html"
689 000 zł,Mieszkanie 62 m² - sprzedaż,3,1/1,blok mieszkalny;  2023,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26487096.html"
619 000 zł,"Mieszkanie 90,00 m² - sprzedaż",4,1/1,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,rzeszowskie-katy/26137671.html?2,mieszkanie"
599 000 zł,"Mieszkanie 59,50 m² - sprzedaż",3,1/4,blok mieszkalny;  2007,parking publiczny / na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26386454.html"
319 000 zł,"Mieszkanie 25,33 m² - sprzedaż",1,1/4,blok mieszkalny;  2024,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,przy-lesie/26387990.html"
569 000 zł,"Mieszkanie 58,00 m² - sprzedaż",3,parter/1,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,nefrytowa-park/25880480.html?2,mieszkanie"
635 000 zł,"Mieszkanie 43,40 m² - sprzedaż",2,2/10,apartamentowiec;  2020,-,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26583936.html"
520 320 zł,"Mieszkanie 40,65 m² - sprzedaż",1,1/4,blok mieszkalny;  2021,garaż w bryle budynku,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26629338.html"
499 000 zł,"Mieszkanie 47,00 m² - sprzedaż",2,2/2,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,zaleze-premium/25878813.html?2,mieszkanie"
599 000 zł,"Mieszkanie 94,40 m² - sprzedaż",4,1/1,2026 (blok w nowym budownictwie),tak,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/26617265.html"
569 000 zł,"Mieszkanie 56,00 m² - sprzedaż",3,parter/2,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,zaleze-premium/25878905.html?2,mieszkanie"
699 000 zł,Mieszkanie 44 m² - sprzedaż,2,12/13,apartamentowiec;  2023,-,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26620950.html"
639 000 zł,"Mieszkanie 87,00 m² - sprzedaż",4,1/1,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,rzeszowskie-katy/26137642.html?2,mieszkanie"
589 000 zł,Mieszkanie 53 m² - sprzedaż,2,parter/3,blok mieszkalny;  2010,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26382334.html"
999 000 zł,"Mieszkanie 117,27 m² - sprzedaż",5,1/1,2019 (blok w nowym budownictwie),garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m5,z-aneksem-kuchennym/26647794.html"
599 000 zł,Mieszkanie 51 m² - sprzedaż,3,4/5,blok mieszkalny;  1994,parking publiczny / na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26387920.html"
529 000 zł,Mieszkanie 38 m² - sprzedaż,2,4/4,2025,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26386456.html"
865 000 zł,"Mieszkanie 144,00 m² - sprzedaż",3,parter/1,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,rzeszowskie-katy/26134242.html?2,mieszkanie"
425 500 zł,"Mieszkanie 46,25 m² - sprzedaż",3,2/2,2025,tak,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26671469.html"
380 000 zł,"Mieszkanie 31,60 m² - sprzedaż",1,3/4,blok mieszkalny;  1960,przynależne na ulicy,do odświeżenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-odswiezenia/26623806.html"
472 803 zł,"Mieszkanie 59,72 m² - sprzedaż",3,1/1,blok mieszkalny;  2025,przynależne na terenie ogrodzonym,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26186268.html"
565 000 zł,"Mieszkanie 49,80 m² - sprzedaż",3,3/3,2015,-,bardzo dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/26689729.html"
389 000 zł,Mieszkanie 28 m² - sprzedaż,2,11/11,blok mieszkalny;  1980,przynależne na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26369985.html"
599 000 zł,"Mieszkanie 94,40 m² - sprzedaż",4,1/2,2025,tak,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,nad-rzeka/26530177.html"
569 000 zł,"Mieszkanie 58,00 m² - sprzedaż",3,parter/1,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,nefrytowa-park/25880089.html?2,mieszkanie"
449 000 zł,"Mieszkanie 37,40 m² - sprzedaż",2,parter/4,-,-,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26676825.html"
670 000 zł,"Mieszkanie 55,21 m² - sprzedaż",3,2/5,2016,w garażu podziemnym,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26394821.html"
